Titolo;Tipologia;Accertamenti;Riscossioni
Fondo pluriennale vincolato per spese correnti;;76.463.590,89;0,00
Fondo pluriennale vincolato per spese in conto capitale;;74.068.049,33;0,00
Fondo pluriennale vincolato attivitŕ finanziarie;;0,00;0,00
Utilizzo Risultato di amministrazione;;11.148.285,01;0,00
Fondo di cassa all'01/01 dell'esercizio di riferimento;;0,00;0,00
1-Entrate correnti di natura tributaria, contributiva e perequativa;TIPOLOGIA 101 - Imposte, tasse e proventi assimilati;656.766.808,27;613.595.833,63
1-Entrate correnti di natura tributaria, contributiva e perequativa;TIPOLOGIA 102 - Tributi destinati al finanziamento della sanitŕ (solo per le Regioni);0,00;0,00
1-Entrate correnti di natura tributaria, contributiva e perequativa;TIPOLOGIA 103 - Tributi devoluti e regolati alle autonomie speciali (solo per le Regioni);0,00;0,00
1-Entrate correnti di natura tributaria, contributiva e perequativa;TIPOLOGIA 104 - Compartecipazioni di tributi;0,00;0,00
1-Entrate correnti di natura tributaria, contributiva e perequativa;TIPOLOGIA 201 - Contributi sociali e premi a carico del datore di lavoro e dei lavoratori;0,00;0,00
1-Entrate correnti di natura tributaria, contributiva e perequativa;TIPOLOGIA 202 - Contributi sociali a carico delle persone non occupate;0,00;0,00
1-Entrate correnti di natura tributaria, contributiva e perequativa;TIPOLOGIA 301 - Fondi perequativi da Amministrazioni Centrali;177.755.983,28;177.755.983,28
1-Entrate correnti di natura tributaria, contributiva e perequativa;TIPOLOGIA 302 - Fondi perequativi dalla Regione o Provincia autonoma;0,00;0,00
TOTALE TITOLO I;;834.522.791,55;791.351.816,91
2-Trasferimenti correnti;TIPOLOGIA 101 - Trasferimenti correnti da Amministrazioni pubbliche;143.087.940,97;151.282.817,25
2-Trasferimenti correnti;TIPOLOGIA 102 - Trasferimenti correnti da Famiglie;0,00;0,00
2-Trasferimenti correnti;TIPOLOGIA 103 - Trasferimenti correnti da Imprese;7.807.778,17;9.781.492,47
2-Trasferimenti correnti;TIPOLOGIA 104 - Trasferimenti correnti da Istituzioni Sociali Private;325.772,62;277.793,30
2-Trasferimenti correnti;TIPOLOGIA 105 - Trasferimenti correnti dall'Unione Europea e dal Resto del Mondo;1.555.226,80;2.948.310,43
TOTALE TITOLO II;;152.776.718,56;164.290.413,45
3-Entrate extratributarie;TIPOLOGIA 100 - Vendita di beni e servizi e proventi derivanti dalla gestione dei beni;161.902.633,80;135.277.908,11
3-Entrate extratributarie;TIPOLOGIA 200 - Proventi derivanti dall'attivitŕ di controllo e repressione delle irregolaritŕ e degli illeciti;84.101.221,34;49.824.578,21
3-Entrate extratributarie;TIPOLOGIA 300 - Interessi attivi;5.809.723,48;6.056.656,61
3-Entrate extratributarie;TIPOLOGIA 400 - Altre entrate da redditi da capitale;23.523.798,92;11.964.536,19
3-Entrate extratributarie;TIPOLOGIA 500 - Rimborsi e altre entrate correnti;18.609.967,18;19.652.269,34
TOTALE TITOLO III;;293.947.344,72;222.775.948,46
4-Entrate in conto capitale;TIPOLOGIA 100 - Tributi in conto capitale;84.895,24;84.295,24
4-Entrate in conto capitale;TIPOLOGIA 200 - Contributi agli investimenti;17.290.518,63;25.957.941,68
4-Entrate in conto capitale;TIPOLOGIA 300 - Altri trasferimenti in conto capitale;0,00;0,00
4-Entrate in conto capitale;TIPOLOGIA 400 - Entrate da alienazione di beni materiali e immateriali;8.583.289,18;12.752.382,14
4-Entrate in conto capitale;TIPOLOGIA 500 - Altre entrate in conto capitale;33.492.988,34;25.855.878,52
TOTALE TITOLO IV;;59.451.691,39;64.650.497,58
5-Entrate da riduzione di attivitŕ finanziarie;TIPOLOGIA 100 - Alienazione di attivitŕ finanziarie;1.232.236,65;1.232.236,65
5-Entrate da riduzione di attivitŕ finanziarie;TIPOLOGIA 200 - Riscossione crediti di breve termine;0,00;0,00
5-Entrate da riduzione di attivitŕ finanziarie;TIPOLOGIA 300 - Riscossione crediti di medio-lungo termine;151.233,38;0,00
5-Entrate da riduzione di attivitŕ finanziarie;TIPOLOGIA 400 - Altre entrate per riduzione di attivitŕ finanziarie;36.568.614,44;51.066.701,36
TOTALE TITOLO V;;37.952.084,47;52.298.938,01
6-Accensione di prestiti;TIPOLOGIA 100 - Emissione di titoli obbligazionari;0,00;0,00
6-Accensione di prestiti;TIPOLOGIA 200 - Accensione Prestiti a breve termine;156.600.500,03;156.600.500,03
6-Accensione di prestiti;TIPOLOGIA 300 - Accensione Mutui e altri finanziamenti a medio lungo termine;21.399.833,00;20.799.833,00
6-Accensione di prestiti;TIPOLOGIA 400 - Altre forme di indebitamento;0,00;0,00
6-Accensione di prestiti;TIPOLOGIA 500 - Entrate da destinare al Fondo di ammortamento titoli;0,00;0,00
TOTALE TITOLO VI;;178.000.333,03;177.400.333,03
7-Anticipazioni da istituto tesoriere/cassiere;TIPOLOGIA 100 - Anticipazioni da istituto tesoriere/cassiere;1.310.565.170,21;1.310.565.170,21
TOTALE TITOLO VII;;1.310.565.170,21;1.310.565.170,21
8-Premi di emissione di titoli emessi dall'amministrazione;TIPOLOGIA 100 - Premi di emissione di titoli emessi dall'amministrazione;0,00;0,00
TOTALE TITOLO VIII;;0,00;0,00
9-Entrate per conto di terzi e partite di giro;TIPOLOGIA 100 - Entrate per partite di giro;209.075.812,42;208.708.989,49
9-Entrate per conto di terzi e partite di giro;TIPOLOGIA 200 - Entrate per conto terzi;15.743.938,92;15.126.228,77
TOTALE TITOLO IX;;224.819.751,34;223.835.218,26
TOTALE TITOLI;;3.092.035.885,27;3.007.168.335,91
TOTALE GENERALE DELLE ENTRATE;;3.253.715.810,50;3.007.168.335,91
DISAVANZO FORMATOSI NELL'ESERCIZIO (Totale generale delle spese di competenza - Totale generale delle entrate di competenza);;0,00;0,00
